"id","n_census","season","year","season.nb","year.nb","habitat","habitat.code","age.at.capture","nb_af_pride","nb_nm_coal_hr","survival","reproduction","cubs"
"ID17",1,"wet",1985,1,1,"grassland",1,17.1666666666667,3,0,0,NA,NA
"ID19",1,"wet",1985,1,1,"grassland",1,6.33333333333333,3,0,1,1,1
"ID16",1,"wet",1985,1,1,"grassland",1,6.33333333333333,3,0,1,NA,0
"ID72",1,"wet",1985,1,1,"grassland",1,8.25,2,0,1,0,NA
"ID644",1,"wet",1985,1,1,"grassland",1,14.8333333333333,2,0,1,NA,0
"ID181",1,"wet",1985,1,1,"open woodland",2,4,11,0,1,0,NA
"ID90",1,"wet",1985,1,1,"open woodland",2,11.25,11,0,1,0,NA
"ID91",1,"wet",1985,1,1,"open woodland",2,11.25,11,0,1,0,NA
"ID92",1,"wet",1985,1,1,"open woodland",2,11.25,11,0,1,1,NA
"ID175",1,"wet",1985,1,1,"open woodland",2,7.08333333333333,11,0,1,1,NA
"ID179",1,"wet",1985,1,1,"open woodland",2,4.16666666666667,11,0,1,0,NA
"ID180",1,"wet",1985,1,1,"open woodland",2,4.16666666666667,11,0,1,0,NA
"ID93",1,"wet",1985,1,1,"grassland",1,11.25,11,0,1,NA,0
"ID176",1,"wet",1985,1,1,"open woodland",2,4.83333333333333,11,0,1,0,NA
"ID177",1,"wet",1985,1,1,"grassland",1,4.25,11,0,1,1,0
"ID97",1,"wet",1985,1,1,"open woodland",2,3.66666666666667,11,0,1,0,NA
"ID265",1,"wet",1985,1,1,"grassland",1,8.66666666666667,4,0,1,0,NA
"ID266",1,"wet",1985,1,1,"grassland",1,8.5,4,0,1,0,NA
"ID264",1,"wet",1985,1,1,"grassland",1,8.66666666666667,4,0,1,0,NA
"ID263",1,"wet",1985,1,1,"grassland",1,12.75,4,0,1,0,NA
"ID267",1,"wet",1985,1,1,"grassland",1,12.75,2,0,1,0,NA
"ID268",1,"wet",1985,1,1,"grassland",1,10.75,2,0,1,1,0
"ID474",1,"wet",1985,1,1,"grassland",1,2.5,2,0,1,0,NA
"ID479",1,"wet",1985,1,1,"grassland",1,2.75,2,0,1,0,NA
"ID371",1,"wet",1985,1,1,"grassland",1,8.16666666666667,4,0,1,1,0
"ID372",1,"wet",1985,1,1,"grassland",1,8.16666666666667,4,0,1,0,NA
"ID381",1,"wet",1985,1,1,"grassland",1,7.75,4,0,1,0,NA
"ID399",1,"wet",1985,1,1,"grassland",1,7.5,4,0,1,0,NA
"ID477",1,"wet",1985,1,1,"grassland",1,5.33333333333333,6,0,1,0,NA
"ID478",1,"wet",1985,1,1,"open woodland",2,5.33333333333333,6,0,1,0,NA
"ID475",1,"wet",1985,1,1,"grassland",1,5.5,6,0,1,0,NA
"ID476",1,"wet",1985,1,1,"open woodland",2,5.5,6,0,1,0,NA
"ID483",1,"wet",1985,1,1,"open woodland",2,11.4166666666667,6,0,0,NA,NA
"ID482",1,"wet",1985,1,1,"open woodland",2,11.4166666666667,6,0,1,0,NA
"ID649",1,"wet",1985,1,1,"grassland",1,3.58333333333333,3,0,1,1,NA
"ID650",1,"wet",1985,1,1,"grassland",1,3.83333333333333,3,0,1,1,NA
"ID675",1,"wet",1985,1,1,"grassland",1,4.66666666666667,3,0,1,0,NA
"ID496",1,"wet",1985,1,1,"savannah",1,11.5,7,0,1,0,NA
"ID502",1,"wet",1985,1,1,"grassland",1,11.8333333333333,7,0,1,0,NA
"ID505",1,"wet",1985,1,1,"savannah",1,11.5,7,0,1,0,NA
"ID580",1,"wet",1985,1,1,"savannah",1,11.3333333333333,7,0,1,0,NA
"ID648",1,"wet",1985,1,1,"savannah",1,11.3333333333333,7,0,1,0,NA
"ID677",1,"wet",1985,1,1,"grassland",1,11.8333333333333,7,0,1,0,NA
"ID507",1,"wet",1985,1,1,"savannah",1,11.8333333333333,7,0,1,1,0
"ID499",1,"wet",1985,1,1,"grassland",1,8.83333333333333,2,0,1,0,NA
"ID503",1,"wet",1985,1,1,"grassland",1,8.25,2,0,1,1,0
"ID702",1,"wet",1985,1,1,"open woodland",2,3.41666666666667,2,0,1,1,NA
"ID735",1,"wet",1985,1,1,"open woodland",2,14.8333333333333,2,0,1,0,NA
"ID796",1,"wet",1985,1,1,"grassland",1,10.8333333333333,7,0,1,1,0
"ID827",1,"wet",1985,1,1,"grassland",1,6.5,7,0,1,0,NA
"ID867",1,"wet",1985,1,1,"grassland",1,2.83333333333333,7,0,1,0,NA
"ID869",1,"wet",1985,1,1,"grassland",1,2.58333333333333,7,0,1,0,NA
"ID870",1,"wet",1985,1,1,"grassland",1,2.41666666666667,7,0,1,0,NA
"ID794",1,"wet",1985,1,1,"grassland",1,10.8333333333333,7,0,1,0,NA
"ID795",1,"wet",1985,1,1,"grassland",1,10.8333333333333,7,0,1,0,NA
"ID953",1,"wet",1985,1,1,"grassland",1,9.75,8,0,1,0,NA
"ID1012",1,"wet",1985,1,1,"grassland",1,2.16666666666667,8,0,1,0,NA
"ID1013",1,"wet",1985,1,1,"grassland",1,2.16666666666667,8,0,1,0,NA
"ID959",1,"wet",1985,1,1,"grassland",1,9.75,8,0,1,0,NA
"ID1011",1,"wet",1985,1,1,"grassland",1,4.83333333333333,8,0,1,1,2
"ID1029",1,"wet",1985,1,1,"grassland",1,14.4166666666667,8,0,1,0,NA
"ID1065",1,"wet",1985,1,1,"grassland",1,9.58333333333333,8,0,1,0,NA
"ID1105",1,"wet",1985,1,1,"grassland",1,9.75,8,0,1,0,NA
"ID1034",1,"wet",1985,1,1,"grassland",1,11.25,2,0,1,1,0
"ID1036",1,"wet",1985,1,1,"grassland",1,4.66666666666667,2,0,1,1,NA
"ID1054",1,"wet",1985,1,1,"grassland",1,6.41666666666667,5,0,1,0,NA
"ID1055",1,"wet",1985,1,1,"grassland",1,6.33333333333333,5,0,1,0,NA
"ID1056",1,"wet",1985,1,1,"grassland",1,6.5,5,0,1,0,NA
"ID1308",1,"wet",1985,1,1,"grassland",1,13.6666666666667,5,0,0,NA,NA
"ID1309",1,"wet",1985,1,1,"grassland",1,13.6666666666667,5,0,1,0,NA
"ID1037",1,"wet",1985,1,1,"open woodland",2,9.33333333333333,2,0,1,1,NA
"ID1038",1,"wet",1985,1,1,"open woodland",2,9.33333333333333,2,0,1,1,1
"ID1110",1,"wet",1985,1,1,"grassland",1,8.16666666666667,1,0,1,0,NA
"ID71",2,"dry",1985,2,1,"grassland",1,8.83333333333333,4,0,1,0,NA
"ID72",2,"dry",1985,2,1,"grassland",1,8.83333333333333,4,0,1,0,NA
"ID73",2,"dry",1985,2,1,"grassland",1,3.66666666666667,4,0,1,NA,0
"ID644",2,"dry",1985,2,1,"grassland",1,15.4166666666667,4,0,1,0,NA
"ID178",2,"dry",1985,2,1,"open woodland",2,4.83333333333333,13,0,1,0,NA
"ID97",2,"dry",1985,2,1,"open woodland",2,4.25,13,0,1,0,NA
"ID182",2,"dry",1985,2,1,"open woodland",2,3.75,13,0,1,0,NA
"ID93",2,"dry",1985,2,1,"open woodland",2,11.8333333333333,13,0,0,NA,NA
"ID90",2,"dry",1985,2,1,"open woodland",2,11.8333333333333,13,0,1,0,NA
"ID91",2,"dry",1985,2,1,"open woodland",2,11.8333333333333,13,0,1,0,NA
"ID175",2,"dry",1985,2,1,"open woodland",2,7.66666666666667,13,0,1,NA,0
"ID180",2,"dry",1985,2,1,"open woodland",2,4.75,13,0,1,0,NA
"ID181",2,"dry",1985,2,1,"open woodland",2,4.58333333333333,13,0,1,0,NA
"ID92",2,"dry",1985,2,1,"open woodland",2,11.8333333333333,13,0,1,NA,0
"ID179",2,"dry",1985,2,1,"open woodland",2,4.75,13,0,0,NA,NA
"ID176",2,"dry",1985,2,1,"grassland",1,5.41666666666667,13,0,1,1,0
"ID177",2,"dry",1985,2,1,"open woodland",2,4.83333333333333,13,0,1,0,NA
"ID264",2,"dry",1985,2,1,"grassland",1,9.25,3,0,1,1,NA
"ID263",2,"dry",1985,2,1,"grassland",1,13.3333333333333,3,0,1,0,NA
"ID265",2,"dry",1985,2,1,"grassland",1,9.25,3,0,1,0,NA
"ID255",2,"dry",1985,2,1,"grassland",1,2.25,3,0,1,0,NA
"ID267",2,"dry",1985,2,1,"grassland",1,13.3333333333333,3,0,0,NA,NA
"ID268",2,"dry",1985,2,1,"grassland",1,11.3333333333333,3,0,1,0,NA
"ID479",2,"dry",1985,2,1,"open woodland",2,3.33333333333333,2,0,1,0,NA
