"ID","sex","birthday","natalPride","lastSeenDate","lastSeenStatus","deathOccasion","captureOccasion","captureDate","captureBegin","captureNorth","captureEast","season","year","habitat","habitatCode","age","stage","stageNb","group","survival","reproduction","reproStage","cubs","nb_af_pride","coal_size","nb_nm_coal_hr"
"ID694","M","1972-07-15","UNK","1984-12-11",NA,NA,1,"1984-11-15",NA,9707200,735700,"wet",1985,"grassland",0,149,"RM",9,"GRP171",0,NA,NA,NA,3,2,0
"ID1057","M","1978-05-15","SM","1985-03-04",NA,NA,1,"1984-11-15",NA,9707200,735700,"wet",1985,"grassland",0,79,"RM",9,"GRP171",0,NA,NA,NA,3,2,0
"ID17","F","1967-10-15","BF","1985-06-04",NA,NA,1,"1984-11-15",NA,9711100,738900,"wet",1985,"grassland",0,206,"AF",3,"GRP16",0,NA,NA,NA,3,NA,0
"ID19","F","1978-08-15","BF","1996-04-10",NA,NA,1,"1984-11-15",NA,9711100,738900,"wet",1985,"grassland",0,76,"AF",3,"GRP16",1,1,"NR",1,3,NA,0
"ID16","F","1978-08-15","BF","1994-01-29",NA,NA,1,"1984-11-15","09:30:00",9709900,742000,"wet",1985,"grassland",0,76,"AF",3,"GRP16",1,NA,"NR",0,3,NA,0
"ID18","M","1978-08-15","BF","1988-02-01",NA,NA,1,"1984-11-15","08:00:00",9715800,713600,"wet",1985,"grassland",0,76,"RM",9,"GRP70",1,NA,NA,NA,2,1,0
"ID72","F","1976-09-15","BM","1987-07-21","D",7,1,"1984-11-15","08:00:00",9715800,713600,"wet",1985,"grassland",0,99,"AF",3,"GRP28",1,0,"NR",NA,2,NA,0
"ID74","M","1984-06-15","BM","1988-03-09",NA,NA,1,"1984-11-15","08:00:00",9715800,713600,"wet",1985,"grassland",0,6,"J",12,"GRP28",1,NA,NA,NA,2,NA,0
"ID75","M","1984-06-15","BM","1987-09-11",NA,NA,1,"1984-11-15","08:00:00",9715800,713600,"wet",1985,"grassland",0,6,"J",12,"GRP28",1,NA,NA,NA,2,NA,0
"ID76","M","1984-06-15","BM","1988-03-09",NA,NA,1,"1984-11-15","08:00:00",9715800,713600,"wet",1985,"grassland",0,6,"J",12,"GRP28",1,NA,NA,NA,2,NA,0
"ID644","F","1970-02-15","BM","1986-06-03",NA,NA,1,"1984-11-15","08:00:00",9715800,713600,"wet",1985,"grassland",0,178,"AF",3,"GRP28",1,NA,"NR",0,2,NA,0
"ID1274","M","1976-07-15","UNK","1985-09-02",NA,NA,1,"1984-11-15","18:30:00",9735100,700800,"wet",1985,"woodland",1,101,"RM",9,"GRP288",1,NA,NA,NA,11,2,0
"ID181","F","1980-12-15","CS","1988-07-06",NA,NA,1,"1984-11-15","18:30:00",9735100,700800,"wet",1985,"woodland",1,48,"AF",3,"GRP46",1,0,"NR",NA,11,NA,0
"ID1273","M","1976-07-15","UNK","1985-09-12",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,101,"RM",9,"GRP288",1,NA,NA,NA,11,2,0
"ID90","F","1973-09-15","CS","1987-11-03",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,135,"AF",3,"GRP46",1,0,"NR",NA,11,NA,0
"ID91","F","1973-09-15","CS","1986-03-02",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,135,"AF",3,"GRP46",1,0,"NR",NA,11,NA,0
"ID92","F","1973-09-15","CS","1988-05-10",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,135,"AF",3,"GRP46",1,1,"NR",NA,11,NA,0
"ID103","F","1983-09-15","CS","1985-04-10",NA,NA,1,"1984-11-15","07:30:00",9735400,701000,"wet",1985,"woodland",1,15,"SA1",1,"GRP46",0,NA,NA,NA,11,NA,0
