"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"ID694","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171"
"ID1057","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171","GRP171"
"ID17","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16"
"ID19","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16"
"ID16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16","GRP16"
"ID18","GRP70","GRP70","GRP70","GRP70","GRP70","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12"
"ID72","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28","GRP28"
"ID74",NA,"GRP28","GRP28","GRP28","GRP28","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12"
"ID75",NA,"GRP28","GRP28","GRP28","GRP28","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12"
"ID76",NA,"GRP28","GRP28","GRP28","GRP28","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12","GRP12"
