"id","Sex","BIRTHDAY_new","Natal.pride","n_census","season","year","capture.date","begin","north","east","age.at.capture","stage","stage.next","pride","group","last.seen.date","last.seen.status","survival","reproduction","repro.stage","cubs","last.seen","stage.nb","death.census","coalition","habitat","habitat.code","location","location.code","nb_nm_coal_pop","pop_size","nb_af_pride","coal_size","nb_nm_coal_hr"
"NAIBU","M","1972-07-15","UNK",1,"wet",1985,"1984-11-15",NA,9707200,735700,149,"RM",NA,"BF","NAFASI,NAIBU&SONS","1984-12-11",NA,0,NA,NA,NA,NA,10,NA,"NAFASI,NAIBU&SONS","grassland",0,"periphery",0,7,269,3,2,0
"SMF","M","1978-05-15","SM",1,"wet",1985,"1984-11-15",NA,9707200,735700,79,"RM",NA,"BF","NAFASI,NAIBU&SONS","1985-03-04",NA,0,NA,NA,NA,NA,10,NA,"NAFASI,NAIBU&SONS","grassland",0,"periphery",0,7,269,3,2,0
"BARBARA","F","1967-10-15","BF",1,"wet",1985,"1984-11-15",NA,9711100,738900,206,"AF",NA,"BF","BF","1985-06-04",NA,0,NA,NA,NA,NA,4,NA,NA,"grassland",0,"periphery",0,7,269,3,NA,0
"BARBIE","F","1978-08-15","BF",1,"wet",1985,"1984-11-15",NA,9711100,738900,76,"AF","AF","BF","BF","1996-04-10",NA,1,1,"NR",1,NA,4,NA,NA,"grassland",0,"periphery",0,7,269,3,NA,0
"BFG","M","1984-09-15","BF",1,"wet",1985,"1984-11-15",NA,9711100,738900,3,"C",NA,"BF","BF","1985-03-04",NA,0,NA,NA,NA,NA,13,NA,NA,"grassland",0,"periphery",0,7,269,3,NA,0
"BARABARA","F","1978-08-15","BF",1,"wet",1985,"1984-11-15","09:30:00",9709900,742000,76,"AF","AF","BF","BF","1994-01-29",NA,1,NA,"NR",0,NA,4,NA,NA,"grassland",0,"periphery",0,7,269,3,NA,0
"BARBET","M","1978-08-15","BF",1,"wet",1985,"1984-11-15","08:00:00",9715800,713600,76,"RM","RM","BM","EL-BRAVO&BARBET","1988-02-01",NA,1,NA,NA,NA,NA,10,NA,"EL-BRAVO&BARBET","grassland",0,"centre",1,7,269,2,1,0
"BM2","F","1976-09-15","BM",1,"wet",1985,"1984-11-15","08:00:00",9715800,713600,99,"AF","AF","BM","BM","1987-07-21","D",1,0,"NR",NA,NA,4,7,NA,"grassland",0,"centre",1,7,269,2,NA,0
"BMF","M","1984-06-15","BM",1,"wet",1985,"1984-11-15","08:00:00",9715800,713600,6,"J","SA1","BM","BM","1988-03-09",NA,1,NA,NA,NA,NA,13,NA,NA,"grassland",0,"centre",1,7,269,2,NA,0
"BMG","M","1984-06-15","BM",1,"wet",1985,"1984-11-15","08:00:00",9715800,713600,6,"J","SA1","BM","BM","1987-09-11",NA,1,NA,NA,NA,NA,13,NA,NA,"grassland",0,"centre",1,7,269,2,NA,0
"BMH","M","1984-06-15","BM",1,"wet",1985,"1984-11-15","08:00:00",9715800,713600,6,"J","SA1","BM","BM","1988-03-09",NA,1,NA,NA,NA,NA,13,NA,NA,"grassland",0,"centre",1,7,269,2,NA,0
"MONEY","F","1970-02-15","BM",1,"wet",1985,"1984-11-15","08:00:00",9715800,713600,178,"AF","AF","BM","BM","1986-06-03",NA,1,NA,"NR",0,NA,4,NA,NA,"grassland",0,"centre",1,7,269,2,NA,0
"UK2","M","1976-07-15","UNK",1,"wet",1985,"1984-11-15","18:30:00",9735100,700800,101,"RM","RM","CS","UK1&2","1985-09-02",NA,1,NA,NA,NA,NA,10,NA,"UK1&2","open woodland",1,"periphery",0,7,269,11,2,0
"CS21","F","1984-07-15","CS",1,"wet",1985,"1984-11-15","18:30:00",9735100,700800,5,"C","J","CS","CS","1985-09-12",NA,1,NA,NA,NA,NA,13,NA,NA,"open woodland",1,"periphery",0,7,269,11,NA,0
"CS22","F","1984-07-15","CS",1,"wet",1985,"1984-11-15","18:30:00",9735100,700800,5,"C","J","CS","CS","1985-09-12",NA,1,NA,NA,NA,NA,13,NA,NA,"open woodland",1,"periphery",0,7,269,11,NA,0
"CSU","F","1980-12-15","CS",1,"wet",1985,"1984-11-15","18:30:00",9735100,700800,48,"AF","AF","CS","CS","1988-07-06",NA,1,0,"NR",NA,NA,4,NA,NA,"open woodland",1,"periphery",0,7,269,11,NA,0
"UK1","M","1976-07-15","UNK",1,"wet",1985,"1984-11-15","07:30:00",9735400,701000,101,"RM","RM","CS","UK1&2","1985-09-12",NA,1,NA,NA,NA,NA,10,NA,"UK1&2","open woodland",1,"periphery",0,7,269,11,2,0
"CFB","F","1973-09-15","CS",1,"wet",1985,"1984-11-15","07:30:00",9735400,701000,135,"AF","AF","CS","CS","1987-11-03",NA,1,0,"NR",NA,NA,4,NA,NA,"open woodland",1,"periphery",0,7,269,11,NA,0
"CFC","F","1973-09-15","CS",1,"wet",1985,"1984-11-15","07:30:00",9735400,701000,135,"AF","AF","CS","CS","1986-03-02",NA,1,0,"NR",NA,NA,4,NA,NA,"open woodland",1,"periphery",0,7,269,11,NA,0
"CFH","F","1973-09-15","CS",1,"wet",1985,"1984-11-15","07:30:00",9735400,701000,135,"AF","AF","CS","CS","1988-05-10",NA,1,1,"NR",NA,NA,4,NA,NA,"open woodland",1,"periphery",0,7,269,11,NA,0
"CS01","F","1983-09-15","CS",1,"wet",1985,"1984-11-15","07:30:00",9735400,701000,15,"SA1",NA,"CS","CS","1985-04-10",NA,0,NA,NA,NA,NA,1,NA,NA,"open woodland",1,"periphery",0,7,269,11,NA,0
"CS02","M","1983-09-15","CS",1,"wet",1985,"1984-11-15","07:30:00",9735400,701000,15,"SA1","SA2M","CS","CS","1985-07-31",NA,1,NA,NA,NA,NA,1,NA,NA,"open woodland",1,"periphery",0,7,269,11,NA,0
"CS03","M","1983-09-15","CS",1,"wet",1985,"1984-11-15","07:30:00",9735400,701000,15,"SA1","SA2M","CS","CS","1986-05-05",NA,1,NA,NA,NA,NA,1,NA,NA,"open woodland",1,"periphery",0,7,269,11,NA,0
